date,time,air_temp_mean_K,air_p_mean_Pa
6/19/2019,22:00:00,291.9156667,99660.26245
6/19/2019,22:30:00,289.37,99696.05264
6/19/2019,23:00:00,288.1276667,99726.16343
6/19/2019,23:30:00,286.846,99754.9914
6/20/2019,0:00:00,286.103,99777.74702
6/20/2019,0:30:00,285.3996667,99798.97889
6/20/2019,1:00:00,284.8446667,99825.67949
6/20/2019,1:30:00,284.006,99845.62314
6/20/2019,2:00:00,283.3603333,99047.40822
6/20/2019,2:30:00,282.4673333,99047.40822
6/20/2019,3:00:00,282.122,99041.36892
6/20/2019,3:30:00,281.746,99041.36892
6/20/2019,4:00:00,281.9786667,99000.3115
6/20/2019,4:30:00,282.6046667,98923.07311
6/20/2019,5:00:00,283.4883333,98923.07311
6/20/2019,5:30:00,284.7193333,98921.86674
6/20/2019,6:00:00,286.098,98921.86674
6/20/2019,6:30:00,287.6033333,99001.51883
6/20/2019,7:00:00,288.9803333,98966.51229
6/20/2019,7:30:00,290.1856667,98966.51229
6/20/2019,8:00:00,291.0863333,98959.2711
6/20/2019,8:30:00,291.6796667,98959.2711
6/20/2019,9:00:00,292.384,98971.34004
6/20/2019,9:30:00,292.8546667,99080.02676
6/20/2019,10:00:00,293.439,99080.02676
6/20/2019,10:30:00,294.2646667,98982.20335
6/20/2019,11:00:00,294.9913333,98982.20335
6/20/2019,11:30:00,295.723,99031.70682
6/20/2019,12:00:00,296.3113333,99024.46086
6/20/2019,12:30:00,297.0363333,99024.46086
6/20/2019,13:00:00,297.424,99030.49913
6/20/2019,13:30:00,297.8213333,99030.49913
6/20/2019,14:00:00,298.2436667,98989.44621
6/20/2019,14:30:00,298.619,99058.27987
6/20/2019,15:00:00,298.7236667,99058.27987
6/20/2019,15:30:00,298.5376667,98935.13764
6/20/2019,16:00:00,299.0796667,98935.13764
6/20/2019,16:30:00,299.2996667,99012.38545
6/20/2019,17:00:00,299.2756667,98953.23718
6/20/2019,17:30:00,299.0546667,98953.23718
6/20/2019,18:00:00,298.8106667,98984.61758
6/20/2019,18:30:00,298.7063333,98984.61758
6/20/2019,19:00:00,298.824,99041.36892
6/20/2019,19:30:00,298.7683333,99028.08378
6/20/2019,20:00:00,298.7843333,99028.08378
6/20/2019,20:30:00,298.7503333,99041.36892
6/20/2019,21:00:00,298.4486667,99041.36892
6/20/2019,21:30:00,297.3306667,99017.21544
6/20/2019,22:00:00,295.9046667,98966.51229
6/20/2019,22:30:00,292.4143333,98966.51229
6/20/2019,23:00:00,290.502,98950.82372
6/20/2019,23:30:00,288.7276667,98950.82372
6/22/2019,0:00:00,293.623,98908.7
6/22/2019,0:30:00,292.072,98928.6
6/22/2019,1:00:00,291.964,98945.1
6/22/2019,1:30:00,290.958,98979.2
6/22/2019,2:00:00,288.546,99006.5
6/22/2019,2:30:00,287.212,99018.4
6/22/2019,3:00:00,286.515,99012.9
6/22/2019,3:30:00,285.67,99024.6
6/22/2019,4:00:00,285.386,99042.4
6/22/2019,4:30:00,285.057,99062.7
6/22/2019,5:00:00,285.113,99068.9
6/22/2019,5:30:00,285.87,99086.1
6/22/2019,6:00:00,286.232,99103.1
6/22/2019,6:30:00,286.826,99104.7
6/22/2019,7:00:00,287.1,99100.3
6/22/2019,7:30:00,287.557,99114
6/22/2019,8:00:00,288.135,99127.5
6/22/2019,8:30:00,288.945,99109.7
6/22/2019,9:00:00,290.433,99095.3
6/22/2019,9:30:00,291.995,99074.8
6/22/2019,10:00:00,293.634,99059.3
6/22/2019,10:30:00,294.798,99047.6
6/22/2019,11:00:00,295.882,99032
6/22/2019,11:30:00,296.215,99030.6
6/22/2019,12:00:00,296.418,99029
6/22/2019,12:30:00,296.633,99017.3
6/22/2019,13:00:00,297.062,99000.6
6/22/2019,13:30:00,297.362,98996.9
6/22/2019,14:00:00,297.749,98982.7
6/22/2019,14:30:00,298.083,98973.4
6/22/2019,15:00:00,298.4,98963.5
6/22/2019,15:30:00,298.601,98955.5
6/22/2019,16:00:00,298.855,98929.7
6/22/2019,16:30:00,299.017,98910.6
